126415614616154112,Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is,positive,apple
126402758403305474,Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY,positive,apple
126397179614068736,@RIM you made it too easy for me to switch to @Apple iPhone. See ya!,positive,apple
126379685453119488,The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace,positive,apple
126377656416612353,Great up close & personal event @Apple tonight in Regent St store!,positive,apple
126373779483004928,From which companies do you experience the best customer service aside from @zappos and @apple?,positive,apple
126366353757179904,"Just apply for a job at @Apple, hope they call me lol",positive,apple
126365858481188864,Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol,positive,apple
126360935509135362,"RT @PhillipRowntree: Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!",positive,apple
126360398885687296,Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple,positive,apple
126418790706712576,RT @cjwallace03: So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. W ...,negative,apple
126417285559762944,"RT @Jewelz2611 @mashable @apple, iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp..",negative,apple
126416915664084992,"@mashable @apple, iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp..",negative,apple
126416109212680192,THiS IS WHAT WiLL KiLL APPLE http://t.co/72Jw4z5c RiP @APPLE,negative,apple
126411162622496768,@apple why my tunes no go on my iPhone? iPhone lonely without them. silly #iOS5,negative,apple
126410591949697024,@apple needs to hurry up and release #iTunesMatch,negative,apple
126409696553861121,Why is  #Siri always down @apple,negative,apple
126408864387182593,I just need to exchange a cord at the apple store why do I have to wait for a genius? @apple,negative,apple
126408052525105153,"@apple AirDrop #fail - Immediate ""declined your request."" every time",negative,apple
126407767132078082,good article about why @apple fucked it all up with lion and their future. http://t.co/zNDP9Vr6 #fb,negative,apple
